NMT,anio,mes,dia,tipo,LAEQ,LAS01,LAS10,LAS50,LAS90,LAS99
18,2022,1,3,N,47.7,58.7,49,43.8,41.5,41
18,2022,1,3,T,53.7,65,55.6,48.3,42.3,41
19,2022,1,3,D,61.5,70.9,63.5,58,53.5,51
19,2022,1,3,E,59.4,67.8,62.1,56,51.2,48.7
19,2022,1,3,N,55.7,63.2,56.2,47.2,39.5,35.9
19,2022,1,3,T,59.9,68.7,62.3,55.5,43.5,37.3
20,2022,1,3,D,62,70,63.6,58.9,54.9,51
20,2022,1,3,E,58.9,66.8,62.2,56.6,50.4,46
20,2022,1,3,N,51.2,62,54.4,45.9,40.7,39.3
20,2022,1,3,T,59.8,68.1,62.4,56.4,43,39.8
24,2022,1,3,D,50.9,57.2,52.7,49.1,46.4,44.4
24,2022,1,3,E,48.8,58.2,52.3,45.3,42.2,41.1
24,2022,1,3,N,44.3,54.1,47.3,41.5,38.9,38.1
24,2022,1,3,T,49.2,56.8,51.9,47.2,40.2,38.3
25,2022,1,3,D,68.9,72.2,70.2,68.5,67,65.8
25,2022,1,3,E,67.9,70.8,69.3,67.8,66,63.5
25,2022,1,3,N,63.1,69.1,66.7,61.7,53.8,48.7
25,2022,1,3,T,67.4,71.7,69.7,67.6,58.7,50.5
26,2022,1,3,D,62,68.9,65.6,59.5,56.9,55.2
26,2022,1,3,E,60.7,67.8,63.9,58.7,56.6,55
26,2022,1,3,N,57.2,67.2,59.5,54.5,46.7,42.3
26,2022,1,3,T,60.6,68.6,64.6,58.2,51.3,43.8
27,2022,1,3,D,59.2,68.6,63.3,53.8,46.5,43.4
27,2022,1,3,E,57.9,67.6,61.7,53.4,46.9,44.8
27,2022,1,3,N,54.7,66.2,57.3,49.1,39.4,35.6
27,2022,1,3,T,57.8,67.9,61.8,51.9,44,37
28,2022,1,3,D,68.3,74.8,71.3,65,57.8,51.7
28,2022,1,3,E,65.4,73.5,69.6,62.3,54.4,49.2
28,2022,1,3,N,59.8,71.9,63.2,46.3,37.6,35.6
28,2022,1,3,T,66.3,74.2,70.1,61.5,41,36.3
29,2022,1,3,D,57.9,66.2,62,53.7,46.4,42.4
29,2022,1,3,E,55.5,64.3,58.8,47.3,41,37.3
29,2022,1,3,N,49.2,62,50.9,38.4,33.6,32.6
29,2022,1,3,T,56,65.4,60.6,48.8,35.5,33.1
30,2022,1,3,D,58.8,64.5,60.9,58,54.6,52.2
30,2022,1,3,E,59.1,64.7,61.3,57.9,53.6,50.4
30,2022,1,3,N,52.3,61.8,55.6,47.7,45.2,43
30,2022,1,3,T,57.6,64,60.6,56.4,46.5,43.8
31,2022,1,3,D,64.4,73,69.1,58.3,52.7,49.2
31,2022,1,3,E,64.8,72.3,68.6,60.1,51.7,48
31,2022,1,3,N,52.7,65.8,53,46,41.2,39.2
31,2022,1,3,T,62.9,72.4,67.8,55,43.6,40
47,2022,1,3,D,55.6,66.9,56.3,50.3,47.4,45.4
47,2022,1,3,E,56.5,68.8,57,51,46,44.2
47,2022,1,3,N,49.6,61.9,50,42.2,38.9,38
47,2022,1,3,T,54.6,66.3,55.3,49.1,40.2,38.2
48,2022,1,3,D,59.7,65.8,61.6,59,56.2,53
48,2022,1,3,E,59.6,66.3,60.9,58.3,55.3,52.7
48,2022,1,3,N,53.5,60.5,56.8,51.6,44.9,41.2
48,2022,1,3,T,58.5,65,60.9,57.7,48.9,42.5
50,2022,1,3,D,64.9,70.8,66.8,63.8,60.2,57.5
50,2022,1,3,E,64.8,71,66.7,63.4,59.3,56.2
